manufactor,model,Price,Description,Cre_date,Repub_date,Year,Hand,Gear,capacity_Engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,Pic_num
ניסאן,ניסאן סנטרה,69900.0,"למכירה: רכב ניסן סנטרה 2019 שמורה במצב מצוין! יד שניה, בעלות פרטית קילומטראג' נמוך 57,700 נסעה בעיקר ברחבי העיר שדרוג מסך מולטימדיה ברכב הרכב מטופל בקפידה ושמור ברמה גבוהה מאוד. מיקום: רמת גן לפרטים נוספים צרו קשר. ליהיא",2024-06-15,2024-06-15,2019,2,אוטומטית,1600,בנזין,69900,228,כסוף מטאלי,פרטית,פרטית,רמת גן - גבעתיים,רמת גן,0
ניסאן,ניסאן סנטרה,39500.0,"רכב שמור טוב וחזק. רכב מהמם יפייפה שמור מאוד מטופל ומטופח מציאה. לא בשבת. עם מערכת מובילאיי, חימום במושבים, מזגן חזק מאוד, מנוע חזק עם 130 כ""ס , חסכונית בדלק, שמור בקפדנות.",2022-10-28,2024-06-02,2017,2,אוטומטית,1800,בנזין,127000,,כסוף מטאלי,ליסינג,פרטית,ירושלים והסביבה,ירושלים,0
ניסאן,ניסאן מיקרה,24000.0,"מיקרה 2017 ידנית במצב חדששששש, יד שניה פרטית, רכב במצב תצוגה, הכל עובד פיקס,רכב חסכוני בטירוף,צמיגים חדשים, טסט לעוד שנה מלאה( סוף פברואר 2025) נעשה טיפול גדול לפני חודש, מתחייב בבדיקה על כל בורג ברכב, מחירון 27200, מבקש 24000",2024-05-28,2024-05-28,2017,2,ידנית,1200,בנזין,180000,256,אפור,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,0
ניסאן,ניסאן מיקרה,52500.0,כל התוספות האפשריות,2024-04-26,2024-04-26,2020,2,ידנית,1000,בנזין,72200,317,לבן שנהב,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,0
ניסאן,ניסאן פרימרה,62000.0,ניסאן דגם קשקאי רכב שמור ברמה גבוהה טיפולים בזמן ללא פגיעות או תיקוני צבע או פח מולטימדיה משודרגת נהג יחיד גג פנורמי,2024-04-24,2024-04-24,2017,1,אוטומטית,1200,בנזין,90000,,לבן מטאלי,פרטית,פרטית,ירושלים והסביבה,ירושלים,0
ניסאן,ניסאן ג'וק JUKE,135000.0,"ניסאן אקסל טרייל! (לא גוק - בעיה באתר)רמת גימור המפוראת tekna, רכב כמו חדש, שמור ביותר, ללא שריטות. נשטף רק ידני.תוצרת יפן. חצי שנה אחריות יבואן. מטופל רק מוסך מורשה ניסאן . גג נפתח חשמלי, חניה אוטומטית, הדגם המפואר עם כל התוספות. רכב שבעה מקומות. יד ראשונה, פרטי. 38,000 קילומטר",2024-04-12,2024-04-13,2021,1,אוטומטית,1600,בנזין,38000,105,אפור מטאלי,אחר,פרטית,פתח תקוה והסביבה,פתח תקווה,0
ניסאן,ניסאן מיקרה,19000.0,"רכב בבעלות עמותה. נהג יחיד. נקנה חדש 0 ק""מ. טסט עד 11.7.23. גמישות במחיר. לא בשבת.",2024-02-19,2024-04-04,2018,2,ידנית,1200,בנזין,186825,,כסוף,ליסינג,חברה,פתח תקוה והסביבה,פתח תקווה,0
ניסאן,ניסאן מיקרה,52500.0,כל התוספות האפשריות דגם מפואר,2024-05-15,2024-05-15,2020,3,ידנית,1000,בנזין,73000,348,לבן,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,0
ניסאן,ניסאן אלתימה,65000.0,"במצב מעולה, בלי תאונות.",2024-01-10,2024-02-08,2016,3,אוטומטית,1600,דיזל,80000,75,לבן שנהב,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,0
ניסאן,ניסאן מיקרה,33500.0,רכב מצב מכני וחיצוני מצויין.. 0 תקלות .מאוד חיסכוני . מערכת מסך מולטימדיה,2023-10-03,2023-12-07,2018,2,אוטומטית,1200,בנזין,134000,,כסף מטלי,פרטית,ליסינג,אשדוד - אשקלון,אשקלון,0
